Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,970.0,18.0,47.0,970.0,0.0,25.409000000000024,0.0,0.0,84.40636825561523,,,,,,,,,,,,,,,,,,,,,7.884660383203906,8.527021347222117,25.088573019455307,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1004.0,19.0,34.0,1004.0,0.0,12.506999999999993,0.0,0.0,87.93709254264832,,,,,,,,,,,,,,,,,,,,,3.3976789378441086,3.9917883596108115,12.416299098010226,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1123.0,20.0,119.0,1123.0,0.0,46.41200000000004,0.0,0.0,99.04694700241089,,,,,,,,,,,,,,,,,,,,,16.622601867714945,11.730399249071047,44.522911678186624,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,37.0,1.0,37.0,1160.0,0.0,17.30800000000002,0.0,0.0,266.90033316612244,,,,,,,,,,,,,,,,,,,,,5.038391698877604,5.780246212102754,17.15587409946637,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,112.0,2.0,75.0,1235.0,0.0,46.206999999999994,0.0,0.0,274.1187047958374,,,,,,,,,,,,,,,,,,,,,18.343846089379454,14.107208463973219,44.92100863956702,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,151.0,3.0,39.0,1274.0,0.0,20.30700000000002,0.0,0.0,277.92621207237244,,,,,,,,,,,,,,,,,,,,,6.325247665966405,6.836664794149105,20.100496232997077,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,184.0,4.0,33.0,1307.0,0.0,16.305000000000007,0.0,0.0,281.19827103614807,,,,,,,,,,,,,,,,,,,,,5.0963194279021335,5.478206671866521,16.169143576889436,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,255.0,5.0,71.0,1378.0,0.0,41.10799999999999,0.0,0.0,287.93738627433777,,,,,,,,,,,,,,,,,,,,,15.835568484880184,12.402477060849781,40.063762098007416,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,299.0,6.0,44.0,1422.0,0.0,20.107000000000024,0.0,0.0,292.3633861541748,,,,,,,,,,,,,,,,,,,,,5.914891383481697,6.4632517248838495,19.88649788840573,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,330.0,7.0,31.0,1453.0,0.0,13.805999999999994,0.0,0.0,295.45288467407227,,,,,,,,,,,,,,,,,,,,,4.037910225958359,4.630848852492641,13.708227529827418,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,364.0,8.0,34.0,1487.0,0.0,15.807999999999993,0.0,0.0,298.76675486564636,,,,,,,,,,,,,,,,,,,,,4.539317302487169,5.368595596383562,15.685017561821518,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,397.0,9.0,33.0,1520.0,0.0,15.206999999999994,0.0,0.0,302.25417375564575,,,,,,,,,,,,,,,,,,,,,4.497560765371546,5.101690418063366,15.088742891783417,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,456.0,10.0,59.0,1579.0,0.0,23.006000000000007,0.0,0.0,308.01143741607666,,,,,,,,,,,,,,,,,,,,,8.660060053357027,6.32378644839987,22.540114145027847,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,533.0,11.0,77.0,1656.0,0.0,34.514000000000024,0.0,0.0,315.46531319618225,,,,,,,,,,,,,,,,,,,,,11.949938089262213,9.325732125996053,33.661143392768956,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,562.0,12.0,29.0,1685.0,0.0,13.105999999999995,0.0,0.0,318.4630358219147,,,,,,,,,,,,,,,,,,,,,3.9602801514456654,4.41969368551108,13.017173204844564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,746.0,13.0,184.0,1869.0,0.0,81.11399999999989,0.0,0.0,335.29204273223877,,,,,,,,,,,,,,,,,,,,,26.263499642823046,20.489408307477202,76.4343082479081,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,815.0,14.0,69.0,1938.0,0.0,48.407999999999994,0.0,0.0,341.72459411621094,,,,,,,,,,,,,,,,,,,,,17.924885217576836,16.01210462301566,47.2656669882968,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,895.0,15.0,80.0,2018.0,0.0,42.80600000000002,0.0,0.0,349.3043203353882,,,,,,,,,,,,,,,,,,,,,15.52219992765084,12.251724396025155,41.647477312936516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,915.0,16.0,20.0,2038.0,0.0,6.907000000000001,0.0,0.0,351.56365966796875,,,,,,,,,,,,,,,,,,,,,1.8308170127295778,2.4151226105302834,6.884145065731807,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,949.0,17.0,34.0,2072.0,0.0,15.307999999999993,0.0,0.0,354.9443118572235,,,,,,,,,,,,,,,,,,,,,4.363814074460829,5.153679744699232,15.189995121716644,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
