episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
40,1.0,1.7035476530745366,-1.4301514588717557,0.8157744824201548,-30.0,0.3333333333333333,0,0.0,False,True,0.3429180792701794,0,40.9092468467365,198.526,prepare,0.0
40,2.0,1.7032590525444429,-1.4299321604039967,0.8786963130986681,-30.0,0.3333333333333333,0,1.0,False,True,0.342220917741409,0,40.9092468467365,198.591,in_progress,0.0
40,3.0,1.7076506336038684,-1.431866739751564,0.48786586136474047,0.0,1.0,5,1.0,False,True,0.35288206928453514,0,40.9092468467365,198.657,in_progress,0.0
40,4.0,1.7257552390458086,-1.4395438029727445,-1.408176560241835,30.0,0.3333333333333333,6,1.0,False,True,0.396844610427281,0,40.9092468467365,198.711,in_progress,0.0
40,5.0,1.7488022672947072,-1.4455999608565475,-2.6757137560954343,-30.0,0.6666666666666666,1,1.0,False,True,0.4529479252136623,0,40.9092468467365,198.793,in_progress,0.0
40,6.0,1.7705555578710106,-1.4519977017460497,-3.980415634190079,0.0,1.0,5,1.0,False,True,0.505876349248866,0,40.9092468467365,198.852,in_progress,0.0
40,7.0,1.801601598387441,-1.461850565822372,-5.776179538920415,-30.0,0.3333333333333333,0,1.0,False,True,0.5813881050974657,0,40.9092468467365,198.929,in_progress,0.0
40,8.0,1.8400485174192225,-1.475379324431641,-8.049656328587274,30.0,0.6666666666666666,7,1.0,False,True,0.6748509036266561,1,40.9092468467365,198.988,in_progress,0.0
40,9.0,1.876068000027462,-1.4914864493086029,-10.657818647842142,-30.0,0.6666666666666666,1,1.0,False,True,0.7622840345334445,1,40.9092468467365,199.063,in_progress,0.0
40,10.0,1.9162133001111503,-1.5084766879029952,-12.767178707623781,30.0,0.6666666666666666,7,1.0,False,True,0.8597681675565205,1,40.9092468467365,199.13,in_progress,0.0
40,11.0,1.9610515782076128,-1.5265463693964352,-14.581336450436643,0.0,0.6666666666666666,4,1.0,False,True,0.9686821670609441,1,40.9092468467365,199.192,in_progress,0.0
40,12.0,1.9988869084211038,-1.542394508316244,-15.973426680574184,30.0,0.3333333333333333,6,0.5,False,True,1.0605632062003298,1,40.9092468467365,199.254,in_progress,0.0
40,13.0,2.0396489829446858,-1.5568540374301287,-16.601614905271134,30.0,0.3333333333333333,6,0.5,False,True,1.1596496950796251,1,40.9092468467365,199.328,in_progress,0.0
40,14.0,2.0757123387480667,-1.565086206479639,-16.02906551674023,0.0,1.0,5,0.5,False,True,1.2474760462991972,1,40.9092468467365,199.399,in_progress,0.0
40,15.0,2.120876677746699,-1.5761109204267274,-15.644504120303582,0.0,0.6666666666666666,4,0.5,False,True,1.3574503128008892,1,40.9092468467365,199.437,in_progress,0.0
40,16.0,2.1661791312159604,-1.5855680058846995,-14.920246862705223,0.0,0.6666666666666666,4,0.5,False,True,1.467821019195209,1,40.9092468467365,199.53,in_progress,0.0
40,17.0,2.214469029887845,-1.5957904814161976,-14.3160365226062,-30.0,0.3333333333333333,0,0.5,False,True,1.5854647377527742,1,40.9092468467365,199.593,in_progress,0.0
40,18.0,2.255553122022527,-1.6073667176820408,-14.562279274129072,30.0,0.3333333333333333,6,0.5,False,True,1.6854455716212746,1,40.9092468467365,199.652,in_progress,0.0
40,19.0,2.2921485589849864,-1.6166860006226187,-14.500143153716175,30.0,0.6666666666666666,7,0.5,False,True,1.774540227439309,1,40.9092468467365,199.728,in_progress,0.0
40,20.0,2.334329223708186,-1.6242891084588693,-13.776924845496758,30.0,0.6666666666666666,7,0.5,False,True,1.8773504451840122,2,40.9092468467365,199.794,in_progress,0.0
40,21.0,2.3829266905950095,-1.6299901905185286,-12.395901282410552,30.0,0.6666666666666666,7,0.5,False,True,1.9959156937575016,2,40.9092468467365,199.863,in_progress,0.0
40,22.0,2.433641550526304,-1.6297951380776965,-9.816730040623542,0.0,0.3333333333333333,3,0.5,False,True,2.119877574193966,2,40.9092468467365,199.93,in_progress,0.0
40,23.0,2.4802395250888325,-1.6281784620061714,-7.455039954305022,0.0,0.3333333333333333,3,0.5,False,True,2.2338305680529835,2,40.9092468467365,199.993,in_progress,0.0
40,24.0,2.5164519747821417,-1.6266201379220993,-5.94313555708628,-30.0,0.3333333333333333,0,0.5,False,True,2.322397624689122,2,40.9092468467365,200.063,in_progress,0.0
40,25.0,2.546832917721128,-1.6272636725304908,-5.322059579752524,0.0,0.6666666666666666,4,0.5,False,True,2.3966289389393194,2,40.9092468467365,200.121,in_progress,0.0
40,26.0,2.5827063861245847,-1.6282162314119528,-4.7850274225233695,30.0,0.6666666666666666,7,0.5,False,True,2.4842694342716456,2,40.9092468467365,200.192,in_progress,0.0
40,27.0,2.617693485663448,-1.6281311334155273,-4.097426935041653,-30.0,0.6666666666666666,1,0.5,False,True,2.569786224541883,2,40.9092468467365,200.26,in_progress,0.0
40,28.0,2.6633669620451492,-1.626975901485675,-3.138478637875274,30.0,0.6666666666666666,7,0.5,False,True,2.6814622890523823,2,40.9092468467365,200.33,in_progress,0.0
40,29.0,2.7084371177081845,-1.6247354540506438,-2.010267697933199,0.0,0.6666666666666666,4,0.5,False,True,2.7917045208407676,2,40.9092468467365,200.393,in_progress,0.0
40,30.0,2.75475658851261,-1.6220845516072788,-1.0249796957022217,-30.0,1.0,2,0.5,False,True,2.905015682478975,2,40.9092468467365,200.461,in_progress,0.0
40,31.0,2.8047771461026976,-1.622573682458807,-0.9916666202556034,30.0,0.6666666666666666,7,0.5,False,True,3.0272548713032115,2,40.9092468467365,200.526,in_progress,0.0
