episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
80,1.0,1.7035297014245703,-1.4299515050952634,0.866495382595696,-30.0,0.3333333333333333,0,0.0,False,True,0.34288169840169913,0,40.9092468467365,862.523,prepare,0.0
80,2.0,1.703472024631192,-1.4299954742976362,0.8631048304201373,0.0,1.0,5,1.0,False,True,0.34273907953952915,0,40.9092468467365,862.592,in_progress,0.0
80,3.0,1.7089053713330282,-1.432384608834084,0.19512657190312235,0.0,0.6666666666666666,4,1.0,False,True,0.3559294203585587,0,40.9092468467365,862.648,in_progress,0.0
80,4.0,1.7272657349868574,-1.432915620319583,0.02975925171417304,0.0,1.0,5,1.0,False,True,0.40078495451587826,0,40.9092468467365,862.709,in_progress,0.0
80,5.0,1.7588023891720894,-1.4325650884262666,0.07107209920018796,30.0,0.3333333333333333,6,1.0,False,True,0.47787833466245233,0,40.9092468467365,862.792,in_progress,0.0
80,6.0,1.786832275362532,-1.4307965584596951,0.42643616253079986,0.0,0.6666666666666666,4,1.0,False,True,0.5464538121088423,0,40.9092468467365,862.86,in_progress,0.0
80,7.0,1.8185728084478878,-1.4290350044125069,0.7539674342072292,30.0,0.6666666666666666,7,1.0,False,True,0.6240983970134533,1,40.9092468467365,862.924,in_progress,0.0
80,8.0,1.8585412453484953,-1.4265953998878143,1.1822521545001272,-30.0,0.6666666666666666,1,1.0,False,True,0.7218786117590879,1,40.9092468467365,862.995,in_progress,0.0
80,9.0,1.8995432033233035,-1.4234091231442385,1.6946817694515002,-30.0,0.6666666666666666,1,1.0,False,True,0.8222128949368577,1,40.9092468467365,863.061,in_progress,0.0
80,10.0,1.9523798826562069,-1.4209726438085732,1.882522589561593,0.0,0.6666666666666666,4,1.0,False,True,0.9514448772882658,1,40.9092468467365,863.126,in_progress,0.0
80,11.0,1.993463856013224,-1.4202799949568483,1.7104433924531626,-30.0,1.0,2,1.0,False,True,1.051886140193223,1,40.9092468467365,863.195,in_progress,0.0
80,12.0,2.0423111519839443,-1.424889104939425,0.26388557389440354,30.0,1.0,8,1.0,False,True,1.1711033643264441,1,40.9092468467365,863.256,in_progress,0.0
80,13.0,2.1038429345931227,-1.4330340943400561,-1.6567801456275881,-30.0,0.3333333333333333,0,1.0,False,True,1.3211901932345003,1,40.9092468467365,863.279,in_progress,0.0
80,14.0,2.164229401227362,-1.438220673554362,-2.4464433895451076,-30.0,0.3333333333333333,0,1.0,False,True,1.468588806934387,1,40.9092468467365,863.379,in_progress,0.0
80,15.0,2.2124056340312883,-1.4455409573714217,-3.667111673519783,0.0,1.0,5,1.0,False,True,1.5860636930702492,1,40.9092468467365,863.439,in_progress,0.0
80,16.0,2.269001648852535,-1.4566427320938733,-5.400621232429116,-30.0,1.0,2,1.0,False,True,1.7239757581144914,1,40.9092468467365,863.524,in_progress,0.0
80,17.0,2.324890975582965,-1.4712428933206378,-7.522278853389452,-30.0,1.0,2,1.0,False,True,1.8600292017725266,1,40.9092468467365,863.59,in_progress,0.0
80,18.0,2.3907802669183353,-1.4934778564330253,-10.51346231573736,0.0,0.6666666666666666,4,1.0,False,True,2.020237322107447,2,40.9092468467365,863.654,in_progress,0.0
80,19.0,2.4501749922877845,-1.517140495858815,-13.372780239933954,0.0,0.6666666666666666,4,1.0,False,True,2.1645181583327076,2,40.9092468467365,863.723,in_progress,0.0
80,20.0,2.500425411262633,-1.5398220849497624,-15.77839601963362,-30.0,0.3333333333333333,0,0.5,False,True,2.2864858091557863,2,40.9092468467365,863.793,in_progress,0.0
80,21.0,2.545513215283213,-1.5628156516555316,-18.073332188005658,30.0,0.6666666666666666,7,0.5,False,True,2.3958235564131263,2,40.9092468467365,863.862,in_progress,0.0
80,22.0,2.584326518930074,-1.5843231813540797,-20.046806889978118,30.0,0.6666666666666666,7,0.5,False,True,2.4898783334596684,2,40.9092468467365,863.924,in_progress,0.0
80,23.0,2.6279080437109523,-1.605611347646618,-21.219204579778793,0.0,1.0,5,0.5,False,True,2.595598165817267,2,40.9092468467365,863.991,in_progress,0.0
80,24.0,2.6721546770982587,-1.6256256588651532,-21.887397361024227,-30.0,0.3333333333333333,0,0.5,False,True,2.7029914795821863,2,40.9092468467365,864.061,in_progress,0.0
80,25.0,2.7134484386104654,-1.650139792143114,-23.618645670993118,30.0,0.6666666666666666,7,0.5,False,True,2.8029984843459492,2,40.9092468467365,864.131,in_progress,0.0
80,26.0,2.7485043989777,-1.6720464068941425,-25.017300790833172,-30.0,0.6666666666666666,1,0.5,False,True,2.887857354145967,2,40.9092468467365,864.194,in_progress,0.0
80,27.0,2.7895631003194725,-1.6944728788269805,-25.680635051795505,30.0,0.3333333333333333,6,0.1,False,True,2.9873682706667894,2,40.9092468467365,864.256,in_progress,0.0
80,28.0,2.823423088937688,-1.7149463677081593,-26.59156666783128,0.0,0.3333333333333333,3,0.1,False,True,3.069357852823501,2,40.9092468467365,864.322,in_progress,0.0
80,29.0,2.853292468280841,-1.732190405949741,-27.07854881208276,0.0,1.0,5,0.1,False,True,3.141715131846522,3,40.9092468467365,864.392,in_progress,0.0
80,30.0,2.887239052513053,-1.7497180254080418,-27.12710609814255,-30.0,0.6666666666666666,1,0.1,False,True,3.224027042376032,3,40.9092468467365,864.433,in_progress,0.0
80,31.0,2.9250483005361363,-1.7749339409542706,-28.3201785698731,0.0,0.6666666666666666,4,0.1,False,True,3.315491020174646,3,40.9092468467365,864.504,in_progress,0.0
80,32.0,2.9641596468311753,-1.8002580435232154,-29.193943074485166,-30.0,0.3333333333333333,0,0.1,False,True,3.4101334521928184,3,40.9092468467365,864.595,in_progress,0.0
80,33.0,2.996453784066018,-1.8267601400008415,-30.92289865622842,0.0,0.3333333333333333,3,0.1,False,True,3.4880693701631147,3,40.9092468467365,864.659,in_progress,0.0
80,34.0,3.0201296196906764,-1.8472790676388033,-32.2777131421471,30.0,1.0,8,0.1,False,True,3.5451656843831407,3,40.9092468467365,864.723,in_progress,0.0
80,35.0,3.047622887598305,-1.8665770755390996,-32.672775565239945,-30.0,0.6666666666666666,1,0.1,False,True,3.6116382317795592,3,40.9092468467365,864.79,in_progress,0.0
80,36.0,3.086619146787995,-1.8930335728037861,-32.97560113373059,-30.0,0.3333333333333333,0,0.1,False,True,3.705956830110517,3,40.9092468467365,864.862,in_progress,0.0
80,37.0,3.1169231964851494,-1.9188395626818313,-34.19275865126221,0.0,1.0,5,0.1,False,False,3.7790644860289095,3,40.9092468467365,864.927,in_progress,0.0
80,38.0,3.151126235356474,-1.9486935258483014,-35.509790567226624,30.0,1.0,8,0.001,False,False,3.861540683921896,3,40.9092468467365,864.991,in_progress,0.0
80,39.0,3.197331728806472,-1.9823335840895218,-35.72765073349457,30.0,0.3333333333333333,6,0.001,False,False,3.9732104697174755,3,40.9092468467365,865.064,in_progress,0.0
80,40.0,3.2431141075926697,-2.009807922996923,-34.67263297073006,0.0,0.6666666666666666,4,0.001,False,False,4.084077630130118,3,40.9092468467365,865.129,in_progress,0.0
80,41.0,3.2821549096448535,-2.033048518403617,-33.95459023435714,-30.0,0.6666666666666666,1,0.001,False,False,4.178626369422851,3,40.9092468467365,865.189,in_progress,0.0
80,42.0,3.319626861418114,-2.057869645844995,-33.90009401708637,-30.0,0.6666666666666666,1,0.001,False,False,4.269281257952633,3,40.9092468467365,865.262,in_progress,0.0
80,43.0,3.3570198812886254,-2.0866038693714564,-34.540235696192916,30.0,1.0,8,0.001,False,False,4.359596284667619,4,40.9092468467365,865.324,in_progress,0.0
80,44.0,3.3992858445777965,-2.118115910160027,-35.05769144774751,0.0,1.0,5,0.001,False,False,4.461717190066273,4,40.9092468467365,865.393,in_progress,0.0
80,45.0,3.4501144670240262,-2.1524760304260515,-34.834441098015354,0.0,0.3333333333333333,3,0.001,True,False,4.584659542217889,4,40.9092468467365,865.451,off_track,0.0
81,1.0,3.7476260266106807,-1.3847342140458476,6.004070187210802,0.0,1.0,5,0.0,False,True,0.3421588604681697,4,40.9092468467365,865.596,prepare,0.0
81,2.0,3.747652622428141,-1.384744389241467,5.997166637866779,30.0,1.0,8,1.0,False,True,0.3422209177414079,4,40.9092468467365,865.66,in_progress,0.0
81,3.0,3.756933819519274,-1.3836061092513774,6.042846307802518,0.0,0.3333333333333333,3,1.0,False,True,0.3650747444034631,4,40.9092468467365,865.72,in_progress,0.0
81,4.0,3.7766349697909494,-1.3794758479434464,6.5024734235888015,0.0,0.3333333333333333,3,1.0,False,True,0.41402420058717637,4,40.9092468467365,865.79,in_progress,0.0
81,5.0,3.7988236050115254,-1.3758094698744394,6.774035575197347,0.0,0.3333333333333333,3,1.0,False,True,0.4689024017370036,4,40.9092468467365,865.862,in_progress,0.0
81,6.0,3.822699013189176,-1.370801545751338,7.291751641075891,30.0,0.3333333333333333,6,1.0,False,True,0.5282238651433895,4,40.9092468467365,865.917,in_progress,0.0
81,7.0,3.8463559666253695,-1.3644817993916958,8.085732885407163,0.0,0.3333333333333333,3,1.0,False,True,0.5873492826370355,5,40.9092468467365,865.993,in_progress,0.0
81,8.0,3.868207969902564,-1.3584049278770036,8.827419063805802,30.0,0.3333333333333333,6,1.0,False,True,0.6420247351208281,5,40.9092468467365,866.06,in_progress,0.0
81,9.0,3.891384346316776,-1.3500061236178755,9.92059654807477,0.0,0.6666666666666666,4,1.0,False,True,0.700512819012105,5,40.9092468467365,866.124,in_progress,0.0
